Name,Team,Position,GP,MPG,FT%,2P%,3P%,TS%,PPG,RPG,APG,SPG,BPG,TOV,ORTG,DRTG
Doug McDermott,SAC,F,8,9.5,0,0,0.375,0.563,3.4,0.6,0.3,0,0.1,0.4,100.4,121.4
Jordan Miller,LAC,G,28,19.3,0.789,0.628,0.379,0.655,9.6,3.3,1.5,0.8,0.2,1.1,126.3,115.4
Garrett Temple,TOR,G-F,13,2.8,0.5,0,0.2,0.254,0.3,0.3,0.3,0.2,0.1,0.2,0,0
Jamal Cain,ORL,F,18,7,0.833,0.474,0.278,0.534,2.7,0.7,0.3,0.2,0.1,0.3,109.8,102.9
Antonio Reeves,CHA,G,7,8,0,0.5,0.5,0.656,3,0.7,0.3,0.1,0,0,140.5,115.6
Zach Edey,MEM,C,11,25.8,0.781,0.656,0.2,0.669,13.6,11.1,1.1,0.6,1.9,2.4,120.2,100.7
Adou Thiero,LAL,G,15,5.8,0.75,0.412,0,0.465,1.3,1.2,0.3,0.3,0.1,0.3,106.3,100.9
Coby White,CHI,G,29,29.1,0.805,0.541,0.346,0.586,18.6,3.7,4.7,0.7,0.1,3,108.3,113.5
Isaac Jones,DET,F,1,1.3,0,1,0,0.5,2,0,0,0,0,0,0,0
Paul George,PHI,F,27,30.5,0.855,0.464,0.382,0.556,16,5.2,3.7,1.5,0.5,1.6,114,109.6
Drew Peterson,CHA,F,6,10.7,0.5,0.5,0,0.148,0.8,1.5,0.3,0.5,0.2,0,57.5,114
LeBron James,LAL,F,32,33,0.736,0.582,0.322,0.591,22,5.7,6.6,1.2,0.6,2.8,118,115.3
Jamaree Bouyea,PHO,G,25,15.3,0.667,0.609,0.34,0.584,7,1.9,1.6,0.7,0.4,0.6,122.1,113.5
Javonte Cooke,POR,G,12,6,1,0.385,0.188,0.351,1.8,0.8,0.6,0.5,0,0.5,77.5,114
Keegan Murray,SAC,F,19,35.9,0.789,0.515,0.272,0.502,14.6,6.1,1.5,1.2,1.6,1.2,104.1,118.9
Jahmai Mashack,MEM,G,7,3.5,0,0,0.333,0.375,0.9,0.7,0.3,0.1,0,0.4,0,0
Garrison Mathews,IND,G,15,13.1,0.826,0.667,0.37,0.628,5.2,1.1,0.7,0.4,0.2,0.2,128.6,112.8
Noa Essengue,CHI,F,2,3,0,0,0,0,0,0,0,0.5,0,0,0,0
Jaden Ivey,DET,G,33,16.8,0.789,0.533,0.372,0.57,8.2,2.2,1.6,0.5,0.4,1.1,112.3,108.5
Chris Livingston,CLE,F,3,5.8,1,1,0,0.605,3,1,0.3,0.3,0,0,128.8,91.5
Tosan Evbuomwan,NYK,F,5,1.5,0,0,0,0,0,0.4,0,0,0,0,0,0
Tyler Herro,MIA,G,11,31.7,0.902,0.579,0.358,0.605,21.9,4.7,2.7,1,0.5,1.5,117.2,110.7
Isaiah Crawford,HOU,F,3,2.3,0,0,0,0,0,0,0,0,0,0,0,0
Drew Timme,LAL,F,16,8,0.667,0.667,0.357,0.623,3.1,1.3,0.9,0.3,0,0.3,129.2,112.8
Kenrich Williams,OKC,G-F,31,15.7,0.654,0.65,0.356,0.605,6.4,3.3,1.6,0.6,0.1,0.6,124,103.3
Jalen Williams,OKC,G-F,24,29.6,0.833,0.507,0.3,0.542,16.8,4.8,5.6,1.3,0.4,2,112.6,103.7
Lachlan Olbrich,CHI,C,14,7.8,0.4,0.455,0.167,0.397,1.2,2.6,0.8,0.1,0.1,0.3,109.8,98.1
